SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1701 16th St N #356,Arlington,VA,22209,925000,1,2,GASLIGHT SQUARE,1158,,2017,26,799,415,Active,,,http://www.redfin.com/VA/Arlington/1701-16th-St-N-22209/unit-356/home/148174352,BRIGHT MLS,VAAR165486,N,Y,38.8922181,-77.0777168
MLS Listing,,Condo/Co-op,1021 Arlington Blvd #420,Arlington,VA,22209,195000,1,1,RIVER PLACE,559,,1955,27,349,421,Active,,,http://www.redfin.com/VA/Arlington/1021-Arlington-Blvd-22209/unit-420/home/11253757,BRIGHT MLS,VAAR165062,N,Y,38.8910242,-77.0683703
MLS Listing,,Single Family Residential,3700 Nelly Custis Dr,Arlington,VA,22207,969995,3,3,CRYSTAL SPRING KNOLLS,2275,9375,1951,28,426,,Active,,,http://www.redfin.com/VA/Arlington/3700-Nelly-Custis-Dr-22207/home/11231452,BRIGHT MLS,VAAR164362,N,Y,38.90195,-77.1035017
MLS Listing,,Single Family Residential,5028 25th St S,Arlington,VA,22206,799000,4,4,CLAREMONT,2651,6001,1947,28,301,,Active,,,http://www.redfin.com/VA/Arlington/5028-25th-St-S-22206/home/11266058,BRIGHT MLS,VAAR165442,N,Y,38.8424141,-77.1061541
MLS Listing,,Single Family Residential,5100 Yorktown Blvd,Arlington,VA,22207,1398000,4,3.5,MILBURN TERRACE,2654,5312,1944,28,527,,Active,,,http://www.redfin.com/VA/Arlington/5100-Yorktown-Blvd-22207/home/11227514,BRIGHT MLS,VAAR165050,N,Y,38.902737,-77.1374834
MLS Listing,,Single Family Residential,5148 11th St S,Arlington,VA,22204,1199000,6,5,COLUMBIA FOREST,3200,5615,1943,28,375,,Active,,,http://www.redfin.com/VA/Arlington/5148-11th-St-S-22204/home/11265423,BRIGHT MLS,VAAR164678,N,Y,38.8515589,-77.1128521
MLS Listing,,Condo/Co-op,1111 19th St N #2207,Arlington,VA,22209,1098000,2,2.5,WATERVIEW,1232,,2008,29,891,1330,Active,,,http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2207/home/16898347,BRIGHT MLS,VAAR165414,N,Y,38.8971766,-77.0696859
MLS Listing,,Condo/Co-op,900 N Taylor St #924,Arlington,VA,22203,184900,1,1,THE JEFFERSON - Sunrise Senior Living,775,,1992,29,239,295,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-924/home/11246538,BRIGHT MLS,VAAR165422,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,1320 Fort Myer Dr #812,Arlington,VA,22209,288000,1,1,WESTMORELAND TERRACE,641,,1947,29,449,368,Active,,,http://www.redfin.com/VA/Arlington/1320-Fort-Myer-Dr-22209/unit-812/home/11251933,BRIGHT MLS,VAAR165398,N,Y,38.8896406,-77.07476
MLS Listing,,Condo/Co-op,900 N Taylor St #1124,Arlington,VA,22203,325000,3,2,THE JEFFERSON - Sunrise Senior Living,1662,,1992,29,196,633,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1124/home/11246578,BRIGHT MLS,VAAR165396,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,900 N Taylor St #1129,Arlington,VA,22203,124900,1,1,THE JEFFERSON - Sunrise Senior Living,775,,1992,29,161,295,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1129/home/11246582,BRIGHT MLS,VAAR165394,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,900 Taylor St #707,Arlington,VA,22203,165000,1,1,THE JEFFERSON - Sunrise Senior Living,727,,1992,29,227,281,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-707/home/11246487,BRIGHT MLS,VAAR165388,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,900 N Taylor St #611,Arlington,VA,22203,140000,1,1,THE JEFFERSON - Sunrise Senior Living,686,,1992,29,204,265,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-611/home/11246471,BRIGHT MLS,VAAR165386,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,900 Taylor St #929,Arlington,VA,22203,110000,1,1,THE JEFFERSON - Sunrise Senior Living,775,,1992,29,142,295,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-929/home/11246542,BRIGHT MLS,VAAR165380,N,Y,38.8803033,-77.1127814
MLS Listing,,Condo/Co-op,900 N Taylor St #1808,Arlington,VA,22203,99999,1,1,THE JEFFERSON - Sunrise Senior Living,634,,1992,29,158,240,Active,,,http://www.redfin.com/VA/Arlington/900-N-Taylor-St-22203/unit-1808/home/11246688,BRIGHT MLS,VAAR165378,N,Y,38.8803033,-77.1127814
MLS Listing,,Single Family Residential,1846 S George Mason Dr,Arlington,VA,22204,724900,3,2,BARCROFT FOREST,910,9469,1951,30,797,,Active,August-2-2020 01:00 PM,August-2-2020 04:00 PM,http://www.redfin.com/VA/Arlington/1846-S-George-Mason-Dr-22204/home/11265673,BRIGHT MLS,VAAR165004,N,Y,38.8502833,-77.1104247
MLS Listing,,Townhouse,3818 N Randolph Ct,Arlington,VA,22207,1750000,5,6,CHAIN BRIDGE TERRACE,5742,5342,2001,30,305,233,Active,,,http://www.redfin.com/VA/Arlington/3818-N-Randolph-Ct-22207/home/11278069,BRIGHT MLS,VAAR165366,N,Y,38.925151,-77.124042
MLS Listing,,Condo/Co-op,1300 Army Navy Dr #225,Arlington,VA,22202,329900,1,1,HORIZON HOUSE,900,,1965,30,367,744,Active,,,http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-225/home/11275032,BRIGHT MLS,VAAR165324,N,Y,38.8639561,-77.0655872
MLS Listing,,Condo/Co-op,1700 Clarendon Blvd #138,Arlington,VA,22209,1598000,2,2.5,GASLIGHT SQUARE,1882,,2012,31,849,814,Active,,,http://www.redfin.com/VA/Arlington/1700-Clarendon-Blvd-22209/unit-138/home/40162952,BRIGHT MLS,VAAR165298,N,Y,38.893125,-77.0773784
MLS Listing,,Condo/Co-op,3625 10th St N #310,Arlington,VA,22201,749999,2,2.5,MONROE,1178,,2006,31,637,805,Active,August-2-2020 12:00 PM,August-2-2020 02:00 PM,http://www.redfin.com/VA/Arlington/3625-10th-St-N-22201/unit-310/home/12040812,BRIGHT MLS,VAAR164874,N,Y,38.8847695,-77.1045146
MLS Listing,,Condo/Co-op,1300 Army Navy Dr #907,Arlington,VA,22202,349000,1,1,HORIZON HOUSE,900,,1965,31,388,744,Active,,,http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-907/home/11275224,BRIGHT MLS,VAAR164240,N,Y,38.8639561,-77.0655872
MLS Listing,,Townhouse,2835-A S Wakefield St Unit A,Arlington,VA,22206,360000,2,1,THE ARLINGTON,755,,1950,31,477,289,Active,,,http://www.redfin.com/VA/Arlington/2835-A-S-Wakefield-St-22206/unit-A/home/172348183,BRIGHT MLS,VAAR165318,N,Y,38.84326,-77.09684
MLS Listing,,Condo/Co-op,1121 Arlington Blvd #538,Arlington,VA,22209,145000,0,1,RIVER PLACE COOP,383,,1955,31,379,313,Active,,,http://www.redfin.com/VA/Arlington/1121-Arlington-Blvd-22209/unit-538/home/11252653,BRIGHT MLS,VAAR165312,N,Y,38.891944,-77.0702135
MLS Listing,,Condo/Co-op,1121 Arlington Blvd #426,Arlington,VA,22209,149000,0,1,RIVER PLACE NORTH,383,,1955,31,389,272,Active,,,http://www.redfin.com/VA/Arlington/1121-Arlington-Blvd-22209/unit-426/home/11252593,BRIGHT MLS,VAAR165290,N,Y,38.891944,-77.0702135
